,min,max,count,std,mean
GHI,0.0,83500.0,196781.0,253.5734468920099,33.38491165305594
temp,-16.6,21300.0,196781.0,83.8392395710154,10.17699676289886
pressure,977.0,1030000.0,196781.0,5153.5892666175005,1041.270508839776
humidity,22.0,94000.0,196781.0,342.8199708547052,81.42454810169681
wind_speed,0.0,4900.0,196781.0,16.630996815221586,4.017938723758899
rain_1h,0.0,8.09,196781.0,0.2789098758895558,0.06603320442522398
snow_1h,0.0,2.82,196781.0,0.06970893530267919,0.007147438014848996
clouds_all,0.0,98000.0,196781.0,347.96410637038815,67.46167566990715
isSun,0.0,1000.0,196781.0,3.2253008239739116,0.5301121551369289
sunlightTime,0.0,840000.0,196781.0,2691.243995068424,220.2531240312835
dayLength,450.0,1020000.0,196781.0,4198.019360708221,769.1303530320508
SunlightTime/daylength,0.0,860.0,196781.0,2.6979956597139654,0.273717584522896
weather_type,1.0,4000.0,196781.0,15.328652983447382,3.269461990740976
hour,0.0,20000.0,196781.0,88.24581023382414,11.940725984724136
month,1.0,11000.0,196781.0,42.03695401432004,6.5014406878712885
